,latitud,provincia,altitud,indicativo,nombre,indsinop,longitud,latitud_dd,longitud_dd,codigo_postal
749,382308N,ALICANTE,233,8013X,NOVELDA,,004528W,38.385555555555555,-4.86888888888889,
750,381715N,ALICANTE,110,8018X,ELX/ELCHE,,004050W,38.2875,-4.083333333333333,
751,381658N,ALICANTE,43,8019,ALICANTE-ELCHE AEROPUERTO,08360,003415W,38.282777777777774,-3.6847222222222227,
752,383437N,ALICANTE,486,8008Y,VILLENA,,005156W,38.57694444444445,-5.251666666666667,
753,384648N,VALENCIA,622,8005X,FONTANARS DELS ALFORINS,,004745W,38.78,-5.2347222222222225,
754,382221N,ALICANTE,81,8025,ALACANT/ALICANTE,08359,002939W,38.3725,-3.5524999999999998,
755,383237N,ALICANTE,36,8036Y,BENIDORM,,000816W,38.54361111111111,-1.3516666666666668,
756,385048N,ALICANTE,60,8057C,PEGO,,000706W,38.84666666666667,-1.1683333333333334,
757,384703N,ALICANTE,15,8050X,JÁVEA/ XÀBIA,08370,001000E,38.784166666666664,1.0,
758,390101N,VALENCIA,340,8072Y,BARX,,001817W,39.01694444444444,-2.3519444444444444,
759,385544N,VALENCIA,5,8058X,OLIVA,08282,000545W,38.928888888888885,-0.9013888888888889,46810
760,384239N,ALICANTE,530,8059C,ALCOI/ALCOY,,002736W,38.71083333333333,-3.2183333333333333,
761,401321N,CUENCA,1154,8084Y,PANTANO DE LA TOBA (AUTOMATICA),,015533W,40.222500000000004,-15.884166666666665,
762,385701N,VALENCIA,12,8058Y,MIRAMAR,,000816W,38.95027777777778,-1.3516666666666668,
763,385715N,ALBACETE,702,8175,ALBACETE BASE AÉREA,08280,015123W,38.95416666666667,-15.200833333333332,
764,393319N,CUENCA,830,8155Y,MOTILLA DEL PALANCAR,,015455W,39.555277777777775,-15.751388888888888,
765,385615N,ALBACETE,880,8177A,CHINCHILLA,08278,013932W,38.9375,-14.550555555555556,
766,400402N,CUENCA,949,8096,CUENCA,08231,020755W,40.06722222222223,-21.25138888888889,
767,390020N,ALBACETE,674,8178D,ALBACETE,08279,015144W,39.00555555555555,-15.234444444444444,
768,391230N,VALENCIA,372,8193E,JALANCE,,010540W,39.208333333333336,-10.9,
769,394252N,CUENCA,815,8245Y,MIRA,,012633W,39.714444444444446,-13.050833333333333,
770,400611N,CUENCA,1160,8210Y,SALVACAÑETE,,013013W,40.10305555555556,-13.0175,
771,390458N,VALENCIA,855,8203O,ZARRA,08283,010603W,39.08277777777778,-11.000833333333333,
772,385102N,ALBACETE,710,8198Y,ALMANSA,,010347W,38.85055555555556,-10.56861111111111,
773,384946N,VALENCIA,350,8283X,ONTINYENT,,003628W,38.82944444444445,-4.035555555555556,
774,390801N,VALENCIA,305,8270X,BICORP,,004724W,39.13361111111111,-5.2011111111111115,
775,390006N,VALENCIA,88,8293X,XÀTIVA,08290,003123W,39.001666666666665,-3.2008333333333336,
776,391105N,VALENCIA,12,8325X,POLINYÀ DE XÚQUER,08287,002219W,39.18472222222222,-2.3525,
777,392332N,VALENCIA,186,8337X,TURÍS,,003729W,39.39222222222222,-4.202500000000001,
778,393432N,VALENCIA,758,8309X,UTIEL,08281,011441W,39.57555555555556,-11.73361111111111,
779,390648N,VALENCIA,25,8300X,CARCAIXENT,,002645W,39.11333333333334,-3.0680555555555555,
780,402103N,TERUEL,902,8368U,TERUEL,08235,010727W,40.350833333333334,-11.201944444444443,
781,400338N,VALENCIA,705,8381X,ADEMUZ,,011701W,40.06055555555555,-12.166944444444443,
782,401410N,TERUEL,1430,8376,JABALOYAS,,012442W,40.236111111111114,-12.733888888888888,
783,402511N,TERUEL,1130,8354X,ALBARRACÍN,,012629W,40.41972222222222,-13.035833333333333,
784,393950N,VALENCIA,198,8409X,LLÍRIA,,003914W,39.663888888888884,-4.517777777777778,
785,392906N,VALENCIA,56,8414A,VALENCIA AEROPUERTO,08284,002829W,39.485,-3.3691666666666666,
786,392850N,VALENCIA,11,8416,VALÈNCIA,08285,002159W,39.480555555555554,-2.2525,
787,392846N,VALENCIA,6,8416X,"VALENCIA, UPV",,002014W,39.47944444444445,-2.017777777777778,
788,394512N,VALENCIA,515,8395X,CHELVA,,005937W,39.75333333333333,-6.551944444444445,
789,402550N,TERUEL,1380,8458X,CEDRILLAS,,005058W,40.43055555555555,-5.085555555555556,
790,392850N,VALENCIA,11,8416Y,"VALÈNCIA, VIVEROS",08285,002159W,39.480555555555554,-2.2525,
791,400516N,CASTELLON,601,8472A,MONTANEJOS,,003249W,40.08777777777778,-3.4025,28380
792,394744N,CASTELLON,400,8439X,SEGORBE,,002907W,39.79555555555555,-3.5019444444444443,
793,394203N,VALENCIA,24,8446Y,SAGUNT/SAGUNTO,,001532W,39.700833333333335,-1.883888888888889,
794,395921N,CASTELLON,23,8501,CASTELLÓ DE LA PLANA,,000156W,39.98916666666667,-0.25166666666666665,12200
795,395726N,CASTELLON,43,8500A,CASTELLÓ - ALMASSORA,08286,000419W,39.95722222222223,-0.6858333333333333,12431
796,402145N,TERUEL,1515,8486X,MOSQUERUELA,,002716W,40.362500000000004,-3.185,
797,401338N,CASTELLON,420,8492X,ATZENETA DEL MAESTRAT,,001011W,40.227222222222224,-1.0169444444444444,
798,402600N,CASTELLON,1130,8489X,VILLAFRANCA DEL CID/VILAFRANCA,08241,001520W,40.43333333333333,-1.8666666666666667,16150
799,404137N,CASTELLON,1165,8520X,LA POBLA DE BENIFASSÀ-FREDES,,000955E,40.69361111111111,1.5847222222222221,
800,403315N,CASTELLON,111,8523X,VINARÒS,08239,002547E,40.55416666666667,2.901944444444444,
801,425931N,CANTABRIA,870,9001D,REINOSA,08032,040938W,42.99194444444444,-41.55222222222222,
802,401241N,CASTELLON,35,8503Y,TORREBLANCA,,001101E,40.21138888888889,1.1669444444444446,
803,424822N,CANTABRIA,720,9019B,"VALDERREDIBLE, POLIENTES   ",08033,035602W,42.80611111111111,-36.00055555555556,
804,425705N,BURGOS,915,9012E,SANTA GADEA DE ALFOZ,,035726W,42.95138888888889,-36.20166666666667,
805,424835N,CANTABRIA,770,9016X,"VALDERREDIBLE, CUBILLO DE EBRO",,040156W,42.80972222222222,-40.251666666666665,
806,430212N,CANTABRIA,1650,9001S,ALTO CAMPOO,08061,042228W,43.03666666666666,-42.36888888888889,
807,423334N,BURGOS,730,9031C,BRIVIESCA,,031832W,42.559444444444445,-32.38388888888889,
808,425231N,ARABA/ALAVA,910,9060X,LALASTRA,,031354W,42.875277777777775,-31.584444444444443,
809,424449N,BURGOS,1017,9027X,SARGENTES DE LA LORA,,035304W,42.746944444444445,-35.50111111111111,
810,425512N,BURGOS,580,9051,MEDINA DE POMAR,08063,032858W,42.919999999999995,-33.41888888888889,
811,424114N,BURGOS,460,9069C,MIRANDA DE EBRO,,025738W,42.68722222222222,-26.218888888888888,
812,424947N,ARABA/ALAVA,660,9073X,"AGURAIN/SALVATIERRA, OPAKUA",,022135W,42.82972222222222,-22.218055555555555,
813,425255N,ARABA/ALAVA,513,9091O,FORONDA-TXOKIZA,08080,024406W,42.88194444444444,-24.668333333333333,
814,425059N,ARABA/ALAVA,521,9087,VITORIA AERÓDROMO,,023922W,42.849722222222226,-24.53388888888889,
815,423431N,LA RIOJA,465,9121X,HARO,,025117W,42.57527777777778,-25.185277777777777,
816,422516N,BURGOS,820,9111,BELORADO,08077,031013W,42.42111111111111,-31.0175,
817,425219N,ARABA/ALAVA,513,9091R,VITORIA-GASTEIZ AEROPUERTO,08080,024358W,42.871944444444445,-24.585555555555555,
818,421518N,LA RIOJA,1630,9115X,VALDEZCARAY,,025805W,42.255,-26.334722222222222,
819,422450N,LA RIOJA,500,9141V,NÁJERA,,024336W,42.413888888888884,-24.551666666666666,
820,421351N,LA RIOJA,1006,9136X,"ANGUIANO, VALVANERA",,025216W,42.23083333333334,-25.351666666666667,
821,423614N,ARABA/ALAVA,612,9122I,LABASTIDA,,024636W,42.60388888888889,-25.051666666666666,
822,423402N,ARABA/ALAVA,575,9145X,LEZA,,023758W,42.56722222222223,-24.252222222222223,
823,422858N,LA RIOJA,429,9145Y,CENICERO,,023822W,42.48277777777778,-24.36722222222222,
824,423413N,NAVARRA,470,9171K,LOS ARCOS,,021102W,42.57027777777778,-21.16722222222222,
825,422708N,LA RIOJA,353,9170,"LOGROÑO, AEROPUERTO",08084,021952W,42.452222222222225,-22.583888888888886,
826,424735N,HUESCA,2276,9195C,ASTÚN- LA RACA,08909,003019W,42.793055555555554,-3.0191666666666666,
827,420858N,LA RIOJA,855,9188,ENCISO,,021624W,42.14944444444444,-22.034444444444446,
828,424458N,HUESCA,1197,9198X,CANFRANC,,003058W,42.74944444444444,-3.0855555555555556,
829,424014N,ARABA/ALAVA,570,9178X,CAMPEZO/KANPEZU,,022046W,42.67055555555555,-22.06833333333333,
830,423444N,HUESCA,823,9201K,JACA,08091,003249W,42.57888888888889,-3.4025,
831,423447N,HUESCA,832,9201X,JACA,08091,003242W,42.57972222222222,-3.4005555555555556,
832,423051N,HUESCA,722,9211F,"BAILO, PUYALTO",,004902W,42.51416666666667,-5.500555555555556,
833,424426N,HUESCA,860,9207,"VALLE DE HECHO, HECHO",,004502W,42.74055555555556,-4.833888888888889,
834,424231N,HUESCA,1025,9208E,ARAGÜÉS DEL PUERTO,08095,004022W,42.70861111111111,-4.033888888888889,
835,424303N,NAVARRA,612,9238X,NAVASCUÉS/NABASKOZE,,010702W,42.7175,-11.167222222222222,
836,425145N,NAVARRA,838,9218A,ISABA/IZABA,,005529W,42.862500000000004,-5.8691666666666675,
837,430028N,NAVARRA,947,9228T,RONCESVALLES/ORREAGA,,011932W,43.007777777777775,-12.550555555555556,
838,425346N,NAVARRA,635,9228J,OROZ-BETELU/OROTZ-BETELU,,011801W,42.89611111111111,-12.33361111111111,
839,422921N,NAVARRA,390,9252X,OLITE/ERRIBERRI,,013920W,42.48916666666667,-14.533333333333333,
840,425814N,NAVARRA,615,9257X,"ESTERIBAR, EMBALSE DE EUGI",,013101W,42.970555555555556,-13.166944444444443,
841,423117N,NAVARRA,440,9245X,CÁSEDA,,012159W,42.521388888888886,-12.2525,
842,422927N,ZARAGOZA,626,9244X,SOS DEL REY CATÓLICO,08090,011248W,42.490833333333335,-11.402222222222223,
843,425508N,NAVARRA,432,9274X,IRURTZUN,,015006W,42.91888888888889,-15.001666666666667,
844,424904N,NAVARRA,450,9262,PAMPLONA,,013818W,42.81777777777778,-14.352222222222222,
845,424204N,NAVARRA,585,9262P,MONREAL/ELO,,012944W,42.70111111111111,-13.567777777777778,
846,424637N,NAVARRA,459,9263D,"PAMPLONA, AEROPUERTO",08085,013900W,42.776944444444446,-14.5,
847,424634N,NAVARRA,572,9263X,"ARANGUREN, ILUNDAIN  ",08089,013157W,42.77611111111111,-13.251944444444444,
848,421034N,LA RIOJA,371,9293X,"ALFARO, LA PLANA",,014438W,42.17611111111111,-14.71888888888889,
849,421155N,NAVARRA,295,9294E,"BARDENAS REALES, BASE AÉREA",08087,012831W,42.198611111111106,-13.38361111111111,
850,423258N,NAVARRA,375,9280B,LARRAGA,,015127W,42.54944444444444,-15.201944444444443,
851,420135N,SORIA,1096,9287A,SAN PEDRO MANRIQUE,,021351W,42.02638888888889,-21.58361111111111,
852,421225N,NAVARRA,268,9283X,CADREITA,08153,014241W,42.206944444444446,-14.400277777777777,
853,415903N,ZARAGOZA,543,9336D,CASTEJON DE VALDEJASA,,005945W,41.98416666666667,-6.5680555555555555,
854,420320N,NAVARRA,297,9302Y,TUDELA,,013634W,42.05555555555555,-14.051111111111112,
855,415732N,NAVARRA,410,9301X,MONTEAGUDO,,014126W,41.95888888888889,-14.201666666666666,
856,420716N,ZARAGOZA,321,9321X,EJEA DE LOS CABALLEROS,,010823W,42.12111111111111,-11.3675,
857,415454N,ZARAGOZA,475,9299X,TARAZONA,,014324W,41.915,-14.534444444444444,
858,411735N,ZARAGOZA,703,9354X,ALHAMA DE ARAGON,,015343W,41.293055555555554,-15.567499999999999,
859,413429N,SORIA,1000,9352A,ALMAZUL,,020825W,41.57472222222223,-21.368055555555557,
860,411259N,SORIA,863,9344C,ARCOS DE JALÓN,,021735W,41.21638888888889,-22.218055555555555,
861,403400N,TERUEL,1000,9374X,SANTA EULALIA DEL CAMPO,,011915W,40.56666666666667,-12.518055555555554,
862,405154N,TERUEL,932,9381,"CALAMOCHA, AERÓDROMO",,011818W,40.865,-12.352222222222222,
863,404643N,GUADALAJARA,1185,9377Y,EL PEDREGAL,,013406W,40.77861111111111,-13.668333333333333,
864,405534N,TERUEL,884,9381I,CALAMOCHA,08233,011736W,40.92611111111111,-12.218333333333334,
865,412852N,ZARAGOZA,370,9427X,LA ALMUNIA DE DOÑA GODINA,,012251W,41.48111111111111,-12.416944444444443,
866,410652N,ZARAGOZA,774,9390,DAROCA,08157,012436W,41.114444444444445,-12.718333333333334,
867,411952N,ZARAGOZA,582,9394X,CALATAYUD,08156,013843W,41.33111111111111,-14.400833333333333,
868,413938N,ZARAGOZA,249,9434,"ZARAGOZA, AEROPUERTO",08160,010015W,41.660555555555554,-10.018055555555556,
869,405943N,TERUEL,1255,9436X,FONFRÍA,,010515W,40.99527777777778,-10.851388888888888,
870,413716N,ZARAGOZA,258,9434P,"ZARAGOZA, VALDESPARTERA",08159,005605W,41.62111111111111,-6.001388888888889,
871,424545N,HUESCA,1800,9445L,"FORMIGAL, SARRIOS",08096,002334W,42.7625,-2.551111111111111,
872,424157N,HUESCA,1100,9453X,"BIESCAS, EMBALSE DE BÚBAL",,001908W,42.69916666666666,-2.502222222222222,
873,424216N,HUESCA,1850,9451F,"PANTICOSA, PETROSOS",08915,001631W,42.70444444444445,-2.0502777777777776,
874,420146N,HUESCA,390,9491X,ALMUDÉVAR,,003509W,42.029444444444444,-3.8358333333333334,
875,412635N,ZARAGOZA,535,9501X,VALMADRID ,,005309W,41.44305555555555,-5.5025,
876,414748N,ZARAGOZA,405,9495Y,LECIÑENA,,003702W,41.79666666666667,-4.167222222222223,
877,412545N,ZARAGOZA,205,9510X,QUINTO,,003014W,41.42916666666667,-3.017777777777778,
878,423046N,HUESCA,775,9460X,SABIÑÁNIGO,,002120W,42.51277777777778,-2.2,
879,410152N,TERUEL,800,9513X,MUNIESA,,004820W,41.03111111111111,-5.366666666666667,
880,404943N,TERUEL,895,9531Y,MONTALBÁN,,004734W,40.828611111111115,-5.217777777777778,
881,411019N,TERUEL,305,9546B,HIJAR,,002631W,41.17194444444444,-3.0502777777777776,
882,405828N,TERUEL,762,9550C,"ANDORRA, HORCALLANA",,002428W,40.974444444444444,-2.7022222222222223,
883,405648N,TERUEL,466,9569A,CALANDA,08166,001416W,40.946666666666665,-1.685,
884,410329N,TERUEL,334,9573X,ALCAÑIZ,08164,000830W,41.058055555555555,-1.3833333333333333,
885,402955N,CASTELLON,1220,9563X,CASTELLFORT,08237,001112W,40.49861111111111,-1.183888888888889,
886,404754N,TERUEL,755,9561X,CASTELLOTE,,001855W,40.79833333333333,-2.418055555555556,
887,403718N,CASTELLON,990,9562X,MORELLA,,000607W,40.62166666666667,-1.0019444444444445,44163
888,421957N,GIRONA,1699,9585,LA MOLINA,08117,015622E,42.3325,16.03388888888889,
889,413119N,ZARAGOZA,357,9576C,BUJARALOZ,08165,001027W,41.52194444444444,-1.035277777777778,50441
890,422144N,LLEIDA,1038,9590,MARTINET  ,,014136E,42.36222222222222,14.218333333333334,
891,411433N,ZARAGOZA,215,9574B,"CASPE, PLANA DEL PILÓN",08165,000407W,41.2425,-0.668611111111111,50131
892,421349N,LLEIDA,1196,9632X,TUIXENT,,013410E,42.23027777777778,13.683333333333334,
893,422549N,LLEIDA,1940,9590D,CAP DE REC,08940,014003E,42.430277777777775,14.000833333333333,
894,422117N,LLEIDA,677,9619,LA SEU D'URGELL,08115,012746E,42.35472222222222,13.235000000000001,
895,420916N,LLEIDA,609,9638D,COLL DE NARGÓ,,011843E,42.154444444444444,12.400833333333333,
896,423730N,LLEIDA,952,9657X,ESTERRI D'ÀNEU,,010734E,42.625,11.217777777777778,
897,414821N,LLEIDA,435,9647X,TORÀ,,012344E,41.80583333333333,12.567777777777778,
898,415253N,LLEIDA,400,9650X,ARTESA DE SEGRE,,010631E,41.88138888888889,11.050277777777778,
899,423451N,LLEIDA,1907,9660,SANT MAURICI (LLAC),,010027E,42.58083333333334,10.035277777777777,
900,422436N,LLEIDA,2410,9677,PORT AINÉ,08938,011253E,42.41,11.417499999999999,
901,414052N,LLEIDA,463,9718X,TORDERA - GRANYANELLA,,011323E,41.68111111111111,11.534166666666666,
902,422759N,LLEIDA,1273,9689X,TORRE DE CABDELLA ,,005927E,42.46638888888889,6.535277777777778,
903,420401N,LLEIDA,515,9707,LLIMIANA,,005426E,42.066944444444445,5.701666666666667,
904,421217N,LLEIDA,807,9698U,TALARN,08112,005153E,42.20472222222222,5.2508333333333335,
905,415224N,LLEIDA,520,9724X,OS DE BALAGUER,,004522E,41.873333333333335,4.867222222222223,
906,413902N,LLEIDA,388,9720X,TÀRREGA,08173,010858E,41.650555555555556,11.418888888888889,
907,413326N,TARRAGONA,657,9726E,LLORAC,,011834E,41.55722222222222,12.384444444444444,
908,420645N,HUESCA,765,9756X,BENABARRE,,002848E,42.112500000000004,3.402222222222222,
909,413701N,LLEIDA,252,9729X,MOLLERUSSA,,005160E,41.61694444444444,5.266666666666667,
910,423012N,LLEIDA,1089,9744B,VALL DE BOÍ,,004756E,42.50333333333333,5.251666666666667,
911,421907N,HUESCA,760,9751,SOPEIRA,,004449E,42.31861111111112,4.735833333333334,
912,413734N,LLEIDA,186,9771C,LLEIDA,08171,003553E,41.626111111111115,3.9175,
913,412158N,LLEIDA,673,9772X,LA POBLA DE CÉRVOLES,,005449E,41.36611111111111,5.735833333333334,
914,413702N,LLEIDA,199,9771,"LLEIDA, OBSERVATORIO",,003716E,41.617222222222225,4.1850000000000005,
915,412449N,LLEIDA,392,9775X,EL SOLERÀS,,004042E,41.41361111111111,4.067222222222222,
916,423748N,HUESCA,992,9784P,BIELSA,08103,001329E,42.63,1.5358333333333332,
917,423736N,HUESCA,1020,9814A,TORLA,08101,000642W,42.626666666666665,-1.0672222222222223,
918,423922N,HUESCA,1905,9814I,"TORLA-ORDESA, EL CEBOLLAR",08919,000728W,42.65611111111111,-1.202222222222222,
919,412336N,LLEIDA,488,9776D,ELS TORMS,,004403E,41.39333333333333,4.6675,
920,423919N,HUESCA,1206,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",,000557W,42.655277777777776,-0.918611111111111,
921,423815N,HUESCA,1076,9814X,TORLA - ORDESA,,000643W,42.6375,-1.0675,
922,422518N,HUESCA,610,9808X,"AÍNSA-SOBRARBE, LA SERRETA",,000817E,42.42166666666667,1.3519444444444446,
923,423558N,HUESCA,1120,9838B,BENASQUE,,003114E,42.599444444444444,3.1844444444444444,
924,422837N,HUESCA,825,9843A,SEIRA,,002603E,42.47694444444445,3.0008333333333335,
925,423318N,HUESCA,2374,9839V,"CERLER, COGULLA",08923,003235E,42.555,3.3847222222222224,
926,420117N,HUESCA,305,9866C,BARBASTRO,,000826E,42.021388888888886,1.3683333333333334,
927,421205N,HUESCA,600,9855E,"CAPELLA, LAGUARRES",,002758E,42.20138888888889,3.252222222222222,
928,414757N,HUESCA,300,9894Y,SARIÑENA,,000939W,41.799166666666665,-1.5525,
929,420820N,HUESCA,463,9901X,HUESCA,,002342W,42.138888888888886,-2.567222222222222,
930,420504N,HUESCA,546,9898,"HUESCA, AEROPUERTO",08094,001932W,42.08444444444444,-2.5505555555555555,
931,414626N,HUESCA,380,9908X,LANAJA,,001959W,41.77388888888889,-2.585833333333333,
932,413710N,HUESCA,178,9911X,BALLOBAR,,001116E,41.61944444444445,1.185,
933,414651N,HUESCA,218,9918Y,"TAMARITE DE LITERA, LA MELUSA",,002237E,41.780833333333334,2.3852777777777776,
934,405224N,TERUEL,483,9935X,VALDERROBRES,,000847E,40.873333333333335,1.4019444444444444,
935,413129N,HUESCA,170,9924X,FRAGA,,002120E,41.52472222222222,2.2,
936,410018N,TARRAGONA,112,9975X,RASQUERA,,003649E,41.005,4.069166666666667,
937,405711N,TARRAGONA,495,9946X,HORTA DE SANT JOAN,,001842E,40.95305555555556,2.4005555555555556,
938,404913N,TARRAGONA,50,9981A,ESTACIÓN DE TORTOSA (ROQUETES),08238,002936E,40.82027777777778,3.5516666666666663,
939,411038N,TARRAGONA,370,9947X,LA POBLA DE MASSALUCA,,002112E,41.17722222222222,2.1838888888888888,
940,411458N,TARRAGONA,363,9961X,CABACÉS,,004407E,41.24944444444444,4.668611111111112,
941,404157N,TARRAGONA,1,9987P,SANT JAUME D'ENVEJA,08240,004836E,40.69916666666666,5.385,
942,424201N,LLEIDA,1161,9990X,"NAUT ARAN, ARTIES ",08107,005237E,42.70027777777778,5.3852777777777785,
943,424131N,LLEIDA,2467,9988B,CAP DE VAQUÈIRA,08936,005826E,42.69194444444444,6.368333333333334,
944,424634N,LLEIDA,722,9994X,BOSSÒST,,004123E,42.77611111111111,4.200833333333334,
945,405517N,TERUEL,1006,9998X,BELLO,,012940W,40.921388888888885,-13.566666666666666,
946,430528N,NAVARRA,334,9995Y,VALCARLOS/LUZAIDE,,011803W,43.09111111111111,-12.334166666666667,
